"id","age","race","sex","mar","ed","prvarrst","curcrim","crime","yrsent","depart","relyr","relmo","expgrp","sexint","paro","higrade","age1st","numarst","numconv","emp1","emp2","emp3","emp4","emp5","emp6","emp7","emp8","emp9","emp10","emp11","emp12","emp13","emp19","frstarrmo","frstarrday","frstarryr","frstcharge","arr2mo","arr2dy","arr2yr","arr3mo","arr3dy","arr3yr","arr4mo","arr4dy","arr4yr","arr5mo","arr5dy","arr5yr","arr6mo","arr6dy","arr6yr","crimper","crimprop","crimoth","numper","numprop","numoth","white","arstdate","reldate","arrstday","arrest","paroled","married","edcomb","fin","male","type","charge","arrstcount","spellnum","length","arrind","begin","end","prevlngth"
7402,31.3,2,1,NA,NA,NA,NA,71,0.5,9,76,5,1,1,1,11,22,3,3,11,11,11,11,11,11,11,11,11,11,22,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,5965,365,0,NA,0,11,1,1,0,0,0,1,365,0,0,365,NA
7406,21.1,2,2,2,11,NA,NA,93,0.5,9,76,5,2,2,0,10,20,1,1,11,11,11,11,11,11,11,11,11,11,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,5965,365,0,NA,1,11,1,0,0,0,0,1,365,0,0,365,NA
7408,26.3,2,1,1,10,3,NA,11,0.5,9,76,5,3,1,0,11,17,2,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,5965,365,0,NA,0,10,1,1,0,0,0,1,365,0,0,365,NA
7409,20.1,2,1,1,8,NA,NA,92,0.5,9,76,5,4,1,0,9,10,6,4,6,1,1,1,1,1,11,11,11,11,11,11,11,11,8,25,76,3562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6081,5965,116,1,NA,0,8,0,1,1,35,1,1,116,1,0,116,NA
7409,20.1,2,1,1,8,NA,NA,92,0.5,9,76,5,4,1,0,9,10,6,4,6,1,1,1,1,1,11,11,11,11,11,11,11,11,8,25,76,3562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6081,5965,116,1,NA,0,8,0,1,1,35,1,2,249,0,116,365,116
7413,46.1,1,1,4,4,3,71,72,0.5,9,76,5,5,1,0,4,40,3,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,NA,5965,365,0,NA,0,4,0,1,0,0,0,1,365,0,0,365,NA
7414,24.2,2,2,2,10,1,NA,43,0.5,9,76,5,3,2,0,10,15,4,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,7,15,76,2399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6040,5965,75,1,NA,1,10,1,0,2,23,1,1,75,1,0,75,NA
7414,24.2,2,2,2,10,1,NA,43,0.5,9,76,5,3,2,0,10,15,4,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,7,15,76,2399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6040,5965,75,1,NA,1,10,1,0,2,23,1,2,290,0,75,365,75
7427,27.5,1,1,NA,NA,NA,NA,1302,0.5,1,76,6,1,1,1,10,26,1,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,NA,5996,365,0,0,0,10,1,1,0,0,0,1,365,0,0,365,NA
7431,28.5,2,1,NA,NA,NA,NA,1813,0.5,1,76,6,2,1,0,10,18,3,3,11,11,11,11,11,11,11,11,11,11,11,11,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,5996,365,0,0,0,10,1,1,0,0,0,1,365,0,0,365,NA
7433,41.2,2,1,NA,NA,NA,NA,42,0.5,1,76,6,4,1,0,12,27,4,3,1,1,1,1,1,6,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,5996,365,0,0,0,12,0,1,0,0,0,1,365,0,0,365,NA
7436,34.2,1,1,NA,NA,NA,1702,1701,0.5,1,76,6,5,1,0,9,16,20,10,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,NA,5996,365,0,0,0,9,0,1,0,0,0,1,365,0,0,365,NA
7437,37.5,1,1,NA,NA,NA,NA,71,0.5,1,76,6,3,1,0,8,13,15,5,1,1,1,1,1,1,1,1,1,1,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,NA,5996,365,0,0,0,8,1,1,0,0,0,1,365,0,0,365,NA
7441,30.5,1,1,2,6,13,1602,1601,3,1,76,6,2,1,0,7,13,28,8,11,11,1,1,1,1,1,1,1,1,1,1,1,1,9,1,76,2599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,6088,5996,92,1,0,1,6,1,1,2,25,1,1,92,1,0,92,NA
